epoch,step,loss,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
12.56,26650,0.0834,2e-05,,,,
12.58,26700,0.0737,2e-05,,,,
12.61,26750,0.0777,2e-05,,,,
12.63,26800,0.0856,2e-05,,,,
12.65,26850,0.0856,2e-05,,,,
12.68,26900,0.0754,2e-05,,,,
12.7,26950,0.0845,2e-05,,,,
12.72,27000,0.0772,2e-05,,,,
12.75,27050,0.0829,2e-05,,,,
12.77,27100,0.0771,2e-05,,,,
12.79,27150,0.0801,2e-05,,,,
12.82,27200,0.0757,2e-05,,,,
12.84,27250,0.0758,2e-05,,,,
12.87,27300,0.0701,2e-05,,,,
12.89,27350,0.0856,2e-05,,,,
12.91,27400,0.077,2e-05,,,,
12.94,27450,0.0707,2e-05,,,,
12.96,27500,0.0835,2e-05,,,,
12.98,27550,0.0752,2e-05,,,,
13.01,27600,0.0725,2e-05,,,,
13.03,27650,0.0619,2e-05,,,,
13.05,27700,0.0571,2e-05,,,,
13.08,27750,0.0693,2e-05,,,,
13.1,27800,0.0673,2e-05,,,,
13.12,27850,0.0637,2e-05,,,,
13.15,27900,0.0617,2e-05,,,,
13.17,27950,0.0619,2e-05,,,,
13.2,28000,0.0664,2e-05,,,,
13.22,28050,0.0655,2e-05,,,,
13.24,28100,0.069,2e-05,,,,
13.27,28150,0.0636,2e-05,,,,
13.29,28200,0.0657,2e-05,,,,
13.31,28250,0.0698,2e-05,,,,
13.34,28300,0.0666,2e-05,,,,
13.36,28350,0.0778,2e-05,,,,
13.38,28400,0.0599,2e-05,,,,
13.41,28450,0.0603,2e-05,,,,
13.43,28500,0.0716,2e-05,,,,
13.45,28550,0.0749,2e-05,,,,
13.48,28600,0.0734,2e-05,,,,
13.5,28650,0.0712,2e-05,,,,
13.53,28700,0.0623,2e-05,,,,
13.55,28750,0.0716,2e-05,,,,
13.57,28800,0.0808,2e-05,,,,
13.6,28850,0.0693,2e-05,,,,
13.62,28900,0.0734,2e-05,,,,
13.64,28950,0.0683,2e-05,,,,
13.67,29000,0.0724,2e-05,,,,
13.69,29050,0.0791,2e-05,,,,
13.71,29100,0.0715,2e-05,,,,
13.74,29150,0.0711,2e-05,,,,
13.76,29200,0.0737,2e-05,,,,
13.78,29250,0.0723,2e-05,,,,
13.81,29300,0.0674,2e-05,,,,
13.83,29350,0.074,2e-05,,,,
13.86,29400,0.0739,2e-05,,,,
13.88,29450,0.0828,2e-05,,,,
13.9,29500,0.0719,2e-05,,,,
13.93,29550,0.0705,2e-05,,,,
13.95,29600,0.0705,2e-05,,,,
13.97,29650,0.0692,2e-05,,,,
14.0,29700,0.0735,2e-05,,,,
14.02,29750,0.0591,2e-05,,,,
14.04,29800,0.0534,2e-05,,,,
14.07,29850,0.0534,2e-05,,,,
14.09,29900,0.0577,2e-05,,,,
14.11,29950,0.0515,2e-05,,,,
14.14,30000,0.0601,2e-05,,,,
14.14,30000,,,0.2469,169.1832,171.967,42.995
14.16,30050,0.0572,2e-05,,,,
14.18,30100,0.0541,2e-05,,,,
14.21,30150,0.0521,2e-05,,,,
14.23,30200,0.0625,2e-05,,,,
14.26,30250,0.0603,2e-05,,,,
14.28,30300,0.0571,2e-05,,,,
14.3,30350,0.0647,2e-05,,,,
14.33,30400,0.067,2e-05,,,,
14.35,30450,0.0605,2e-05,,,,
14.37,30500,0.0658,2e-05,,,,
14.4,30550,0.0702,2e-05,,,,
14.42,30600,0.0671,2e-05,,,,
14.44,30650,0.0652,2e-05,,,,
14.47,30700,0.0703,2e-05,,,,
14.49,30750,0.0677,2e-05,,,,
14.51,30800,0.0692,2e-05,,,,
14.54,30850,0.0656,2e-05,,,,
14.56,30900,0.0595,2e-05,,,,
14.59,30950,0.076,2e-05,,,,
14.61,31000,0.0645,2e-05,,,,
14.63,31050,0.0713,2e-05,,,,
14.66,31100,0.0633,2e-05,,,,
14.68,31150,0.0635,2e-05,,,,
14.7,31200,0.0693,2e-05,,,,
14.73,31250,0.0722,2e-05,,,,
14.75,31300,0.0639,2e-05,,,,
14.77,31350,0.0698,2e-05,,,,
14.8,31400,0.0658,2e-05,,,,
14.82,31450,0.0669,2e-05,,,,
14.84,31500,0.0684,2e-05,,,,
14.87,31550,0.0672,2e-05,,,,
14.89,31600,0.0705,2e-05,,,,
14.92,31650,0.0655,2e-05,,,,
14.94,31700,0.0632,2e-05,,,,
14.96,31750,0.064,2e-05,,,,
14.99,31800,0.0708,2e-05,,,,
15.01,31850,0.0545,2e-05,,,,
15.03,31900,0.0544,2e-05,,,,
15.06,31950,0.0507,2e-05,,,,
15.08,32000,0.0541,2e-05,,,,
15.1,32050,0.056,2e-05,,,,
15.13,32100,0.0526,2e-05,,,,
15.15,32150,0.0593,2e-05,,,,
15.17,32200,0.0495,2e-05,,,,
15.2,32250,0.0552,2e-05,,,,
15.22,32300,0.0494,2e-05,,,,
15.25,32350,0.0561,2e-05,,,,
15.27,32400,0.0652,2e-05,,,,
15.29,32450,0.0531,2e-05,,,,
15.32,32500,0.0577,2e-05,,,,
